prefix	equation
- (/ 2 6) 10	I want to calculate two divided by 6 - ten?
+ (* 1 1) 7	I want to calculate one * one added with 7?
- (/ 1 2) 10	I would like to know what is one divided by 2 - ten?
* (/ 5 7) 8	How many is five / seven times eight?
* (/ 4 10) 5	what is four / 10 times 5?
+ (- 8 3) 3	I want to calculate 8 - three added with 3?
* (+ 7 4) 4	what is 7 + four * four?
+ (/ 5 6) 3	I would like to know what is 5 / 6 added with 3?
+ (/ 1 2) 9	I would like to know what is one divided by 2 plus nine?
/ (* 6 10) 6	what is 6 * 10 / 6?
* (- 5 5) 3	I would like to know what is 5 - 5 * three?
- (/ 10 9) 10	I want to calculate ten / 9 minus 10?
+ (/ 6 4) 4	I want to calculate 6 divided by 4 + four?
- (* 9 9) 2	How many is nine * 9 minus two?
* (+ 7 3) 6	I would like to know what is seven + three times 6?
/ (/ 3 2) 7	what is 3 / 2 / seven?
* (/ 8 1) 3	what is 8 / 1 * three?
+ (* 1 5) 1	How many is 1 * five plus 1?
/ (+ 1 8) 8	what is one + eight / 8?
+ (* 6 8) 1	I want to calculate six * 8 plus one?
/ (+ 4 6) 2	what is four + 6 / 2?
- (* 10 6) 4	what is ten * six - 4?
- (* 10 9) 5	I want to calculate 10 * 9 minus 5?
+ (- 9 6) 1	I would like to know what is 9 - 6 plus one?
+ (- 10 8) 5	How many is 10 - eight added with five?
+ (- 7 7) 3	what is seven - seven plus 3?
* (/ 7 5) 8	How many is seven / five multiplied by eight?
- (* 6 3) 2	I would like to know what is 6 multiplied by three - two?
/ (/ 3 9) 9	I want to calculate three / 9 divided by nine?
- (* 5 7) 10	what is 5 times seven extracted by ten?
- (+ 1 6) 4	what is one plus 6 - four?
- (* 2 8) 9	How many is two * eight extracted by 9?
/ (+ 4 1) 6	How many is four added with one divided by 6?
* (+ 4 2) 3	I want to calculate four plus 2 * three?
/ (+ 3 9) 1	I would like to know what is 3 plus 9 divided by one?
+ (* 7 4) 1	I want to calculate seven * four plus 1?
- (* 6 10) 8	I want to calculate six * ten minus eight?
- (+ 3 5) 5	How many is three added with five extracted by five?
* (/ 3 6) 10	I want to calculate three / six times 10?
- (+ 3 7) 2	How many is 3 plus 7 - two?
+ (/ 2 5) 3	I would like to know what is two / 5 + 3?
+ (* 3 9) 9	I would like to know what is 3 times nine + nine?
* (- 6 9) 5	I would like to know what is six - 9 times 5?
/ (+ 8 1) 7	I would like to know what is 8 added with 1 / seven?
* (* 1 2) 8	How many is 1 times two times 8?
- (* 3 3) 10	I want to calculate three multiplied by 3 minus 10?
- (+ 8 10) 4	what is eight added with ten extracted by 4?
* (+ 1 5) 10	I would like to know what is 1 + five * ten?
* (- 5 7) 4	How many is five extracted by 7 multiplied by 4?
* (/ 3 8) 8	what is three / 8 multiplied by eight?
- (- 3 1) 1	How many is three extracted by one extracted by one?
* (/ 10 7) 4	I want to calculate ten divided by 7 multiplied by 4?
* (/ 5 4) 6	what is 5 divided by 4 multiplied by 6?
- (* 6 1) 2	How many is 6 multiplied by 1 - two?
- (/ 8 7) 6	How many is 8 / 7 minus 6?
* (+ 10 1) 10	I want to calculate 10 plus one times 10?
* (- 4 10) 7	what is four minus 10 times 7?
/ (+ 10 4) 1	I want to calculate 10 added with four divided by 1?
* (/ 9 4) 7	I want to calculate nine divided by four times seven?
- (+ 10 1) 6	what is 10 + 1 minus 6?
- (- 7 9) 10	what is 7 extracted by 9 extracted by ten?
- (+ 6 9) 10	I want to calculate six plus nine extracted by ten?
+ (* 1 9) 1	I want to calculate one * 9 added with one?
- (/ 7 2) 8	How many is 7 / two minus eight?
- (/ 7 8) 2	what is 7 / 8 - two?
- (* 6 8) 1	I would like to know what is 6 * eight extracted by 1?
+ (+ 9 2) 9	what is nine plus 2 added with 9?
* (- 3 1) 2	I want to calculate three - 1 multiplied by 2?
+ (+ 7 9) 6	How many is 7 + nine plus 6?
/ (- 9 7) 8	How many is 9 - 7 / 8?
+ (* 2 6) 9	I want to calculate 2 times 6 added with nine?
+ (- 5 6) 9	I would like to know what is 5 extracted by six plus nine?
- (+ 10 1) 4	How many is ten plus 1 - four?
/ (- 3 5) 6	How many is 3 extracted by 5 / 6?
/ (/ 4 8) 1	How many is 4 / 8 divided by one?
/ (- 1 5) 7	I want to calculate one extracted by 5 / seven?
* (* 4 8) 8	what is 4 multiplied by 8 * 8?
/ (/ 3 4) 1	I would like to know what is three / 4 / 1?
+ (- 1 7) 6	what is one extracted by seven + six?
/ (- 7 7) 1	I would like to know what is 7 extracted by seven divided by one?
* (- 5 9) 8	I would like to know what is 5 minus nine times 8?
* (/ 6 9) 9	I would like to know what is six divided by nine multiplied by 9?
- (- 7 7) 10	I would like to know what is 7 minus 7 - 10?
- (- 5 10) 1	what is 5 minus 10 extracted by one?
+ (+ 10 2) 1	I would like to know what is ten added with 2 added with 1?
* (/ 2 5) 8	what is 2 divided by five * eight?
/ (* 2 9) 9	I would like to know what is 2 multiplied by 9 divided by nine?
+ (+ 2 2) 1	I want to calculate 2 plus two added with 1?
+ (+ 4 6) 2	I want to calculate four plus 6 added with two?
* (* 7 5) 2	what is 7 * 5 multiplied by two?
- (+ 3 5) 6	How many is three added with 5 extracted by 6?
/ (/ 3 9) 2	I want to calculate three divided by nine / 2?
/ (* 1 1) 2	How many is 1 times one / 2?
- (- 5 4) 8	I would like to know what is five minus four extracted by eight?
* (- 5 6) 6	I would like to know what is 5 - 6 * 6?
* (+ 7 1) 1	I would like to know what is seven plus 1 multiplied by 1?
+ (* 1 4) 10	How many is one * four added with 10?
/ (/ 8 5) 4	How many is 8 / five / 4?
