prefix	equation
/ (* 7 7) 10	what is seven times seven / ten?
- (- 4 5) 7	How many is 4 minus five - seven?
/ (/ 10 9) 7	How many is 10 / nine / seven?
+ (* 7 7) 1	I would like to know what is 7 multiplied by 7 added with 1?
/ (+ 4 8) 5	I want to calculate four + 8 / 5?
/ (- 1 7) 10	what is 1 - 7 divided by ten?
+ (+ 10 6) 8	How many is ten added with 6 + eight?
+ (+ 9 7) 4	How many is nine + 7 + 4?
- (* 10 4) 7	I would like to know what is ten multiplied by four minus 7?
/ (* 4 7) 4	How many is four * seven / four?
/ (/ 9 1) 1	I want to calculate 9 / one divided by 1?
+ (+ 10 7) 9	I would like to know what is 10 added with 7 + 9?
* (/ 1 6) 1	what is one / 6 times 1?
/ (+ 4 2) 8	what is 4 + two divided by eight?
* (/ 9 10) 4	I want to calculate 9 / ten times 4?
- (- 10 7) 3	I want to calculate ten minus seven extracted by 3?
/ (+ 8 8) 5	I want to calculate eight added with 8 / 5?
+ (* 1 1) 10	I want to calculate 1 multiplied by one added with ten?
* (+ 5 9) 2	what is 5 + 9 * 2?
/ (/ 2 3) 7	How many is 2 / three divided by 7?
* (/ 4 10) 7	what is four / 10 times seven?
- (- 7 1) 8	I would like to know what is 7 minus 1 minus 8?
/ (/ 6 3) 8	How many is six / three divided by eight?
* (* 8 2) 7	what is 8 times two * seven?
/ (/ 7 1) 1	I would like to know what is 7 divided by 1 divided by 1?
* (* 8 4) 9	How many is 8 * four multiplied by nine?
- (+ 9 7) 9	I want to calculate 9 added with 7 extracted by 9?
/ (+ 3 8) 1	what is three + 8 / one?
* (/ 3 2) 6	I would like to know what is 3 / two * six?
+ (- 7 8) 3	what is 7 minus eight added with three?
* (+ 5 10) 5	I want to calculate 5 added with ten times 5?
+ (* 1 7) 4	I would like to know what is one times 7 added with 4?
+ (/ 4 8) 9	what is four / 8 added with nine?
/ (* 7 3) 10	what is seven * three divided by 10?
- (+ 3 8) 8	what is three added with 8 extracted by eight?
* (* 8 9) 7	I would like to know what is 8 multiplied by nine times 7?
+ (+ 5 8) 4	How many is 5 added with eight + 4?
* (* 4 10) 9	I would like to know what is 4 multiplied by 10 multiplied by 9?
/ (* 4 8) 9	I would like to know what is 4 * eight / nine?
/ (* 8 6) 9	I want to calculate 8 times 6 / nine?
+ (+ 8 9) 6	How many is eight + 9 + six?
* (+ 7 1) 1	what is seven + one * one?
/ (* 2 4) 7	I want to calculate 2 * four / seven?
+ (- 6 7) 2	I want to calculate 6 minus seven plus 2?
- (/ 7 7) 5	How many is 7 divided by seven - five?
* (/ 7 4) 1	How many is seven / four multiplied by one?
- (/ 6 8) 8	How many is 6 divided by 8 minus 8?
/ (- 3 8) 7	I want to calculate 3 - eight / 7?
+ (- 8 7) 8	I want to calculate eight extracted by seven added with eight?
* (+ 2 3) 2	I would like to know what is two plus three multiplied by 2?
* (* 8 1) 9	I want to calculate eight multiplied by 1 multiplied by 9?
+ (+ 8 7) 6	How many is 8 + seven plus six?
* (+ 4 6) 4	How many is four added with six multiplied by four?
/ (- 2 7) 7	How many is two extracted by 7 / 7?
+ (- 7 4) 5	I want to calculate 7 extracted by 4 added with five?
/ (* 2 9) 1	I want to calculate two * 9 divided by one?
/ (- 9 6) 2	I want to calculate 9 - six divided by 2?
/ (* 5 10) 1	I want to calculate 5 * ten / 1?
+ (+ 2 2) 6	I would like to know what is 2 + two + six?
+ (* 7 9) 2	I want to calculate seven multiplied by 9 + 2?
+ (/ 5 1) 8	I want to calculate 5 divided by one plus 8?
/ (- 9 3) 7	I want to calculate nine extracted by 3 divided by 7?
- (- 7 1) 9	How many is 7 minus 1 minus 9?
* (+ 9 5) 4	I want to calculate nine plus five times four?
* (* 1 10) 4	I would like to know what is one multiplied by ten multiplied by four?
+ (/ 4 8) 7	I would like to know what is 4 divided by eight added with seven?
+ (+ 9 9) 1	How many is nine + nine added with one?
+ (- 5 7) 1	what is 5 - seven plus one?
/ (* 5 1) 6	what is five times one / six?
* (- 4 7) 1	How many is four extracted by seven multiplied by 1?
* (/ 10 5) 3	I want to calculate ten divided by 5 multiplied by three?
* (+ 7 8) 8	How many is 7 added with eight multiplied by 8?
+ (+ 1 6) 9	I want to calculate one + 6 added with nine?
* (+ 9 1) 8	How many is nine added with one times eight?
+ (/ 9 5) 6	I want to calculate 9 / five plus 6?
- (+ 6 10) 6	How many is six added with ten extracted by six?
- (* 1 2) 3	what is one times two - three?
- (/ 9 8) 7	I want to calculate 9 divided by 8 - 7?
/ (* 3 9) 9	what is three multiplied by 9 / nine?
+ (+ 8 10) 3	what is eight added with 10 plus three?
+ (- 7 5) 9	I would like to know what is seven - 5 plus nine?
- (- 4 9) 5	I would like to know what is 4 - 9 minus five?
* (+ 5 6) 7	How many is five plus six * 7?
* (/ 2 10) 6	I would like to know what is two / 10 multiplied by 6?
- (+ 7 2) 10	what is 7 plus two - 10?
- (/ 1 6) 10	I want to calculate one divided by 6 - ten?
+ (/ 5 7) 1	what is 5 / 7 + 1?
+ (+ 7 6) 3	I want to calculate seven added with 6 added with three?
* (- 2 2) 1	what is 2 extracted by 2 times 1?
/ (- 7 6) 10	what is seven minus six / 10?
- (+ 4 4) 1	what is 4 added with 4 - 1?
* (* 9 10) 2	How many is 9 * ten times two?
- (/ 1 6) 3	How many is 1 divided by 6 - 3?
* (+ 2 8) 2	I would like to know what is two + eight times two?
- (* 9 5) 3	I would like to know what is 9 times five - 3?
+ (/ 6 4) 2	I want to calculate six divided by four plus 2?
+ (/ 2 3) 9	I would like to know what is two / three plus nine?
- (/ 4 5) 9	what is 4 divided by 5 - nine?
- (* 8 6) 6	I would like to know what is 8 * six - 6?
* (* 5 5) 1	what is 5 multiplied by 5 times 1?
- (+ 3 3) 3	How many is three added with three minus 3?
- (- 10 10) 5	I would like to know what is 10 - 10 extracted by five?
/ (+ 2 5) 4	I want to calculate two added with 5 divided by four?
+ (+ 8 5) 6	I would like to know what is eight added with five + 6?
/ (* 6 8) 1	what is 6 times eight divided by 1?
/ (/ 3 6) 5	what is three / six divided by five?
* (- 8 9) 10	I want to calculate 8 extracted by 9 times ten?
/ (* 1 3) 2	How many is one times three divided by two?
- (* 10 1) 9	I would like to know what is ten * one - 9?
/ (* 9 3) 8	I want to calculate 9 multiplied by 3 divided by 8?
+ (/ 8 7) 7	I want to calculate eight / seven added with 7?
- (- 1 9) 10	How many is 1 extracted by nine minus ten?
- (+ 4 6) 8	I want to calculate 4 plus 6 extracted by eight?
* (+ 1 9) 3	I want to calculate one + 9 * 3?
+ (- 1 1) 4	what is one minus 1 plus four?
+ (- 4 10) 4	I would like to know what is 4 - 10 added with 4?
* (+ 3 3) 2	I want to calculate 3 plus three times 2?
/ (* 3 6) 1	I would like to know what is 3 times six divided by one?
* (+ 4 8) 9	How many is four plus eight * 9?
- (- 5 3) 9	How many is 5 extracted by 3 - nine?
+ (/ 8 8) 4	I want to calculate 8 / eight + four?
/ (* 10 8) 2	I want to calculate 10 * 8 / 2?
* (* 8 1) 2	How many is eight times 1 times 2?
* (+ 3 7) 9	what is three + seven * nine?
+ (- 3 7) 10	I want to calculate three minus seven + 10?
* (* 9 1) 7	I want to calculate nine times one times 7?
* (* 2 6) 5	How many is two multiplied by 6 * five?
/ (/ 6 7) 1	I would like to know what is six divided by 7 divided by 1?
- (/ 10 1) 6	what is ten / 1 minus six?
- (- 9 2) 1	I would like to know what is 9 - two extracted by one?
- (- 1 5) 7	what is one minus five extracted by 7?
* (+ 7 2) 2	what is 7 plus two times 2?
- (- 4 1) 6	I would like to know what is 4 extracted by one - 6?
+ (* 8 1) 6	I would like to know what is eight multiplied by 1 plus six?
+ (* 1 9) 7	I want to calculate one times 9 + seven?
* (+ 7 10) 2	what is 7 + 10 times 2?
+ (+ 2 5) 4	How many is two plus 5 added with 4?
* (* 1 5) 7	I want to calculate 1 multiplied by five * seven?
/ (/ 4 7) 1	I want to calculate 4 divided by seven divided by 1?
* (* 5 5) 10	I want to calculate 5 multiplied by 5 * ten?
+ (/ 8 10) 3	I would like to know what is eight / ten plus three?
* (- 10 3) 10	How many is ten extracted by three * ten?
/ (* 6 3) 4	what is 6 multiplied by 3 / 4?
* (* 1 4) 6	I want to calculate one times 4 multiplied by 6?
/ (* 10 10) 5	I would like to know what is ten multiplied by ten / 5?
/ (+ 5 3) 3	what is 5 added with 3 / three?
+ (- 5 8) 6	I want to calculate five - 8 plus six?
+ (* 8 4) 1	I want to calculate 8 * 4 + 1?
* (+ 2 10) 7	I want to calculate two plus 10 * 7?
- (+ 9 9) 5	I would like to know what is 9 added with 9 - 5?
- (* 7 8) 3	I would like to know what is 7 times 8 minus three?
/ (- 9 1) 5	How many is nine - one / 5?
/ (+ 7 7) 1	I would like to know what is 7 added with seven / one?
/ (+ 3 10) 5	How many is 3 plus 10 / 5?
- (* 3 1) 7	How many is 3 times one extracted by 7?
- (* 4 9) 3	what is four times 9 extracted by three?
+ (+ 6 6) 4	what is 6 plus 6 + four?
+ (* 3 6) 6	I want to calculate 3 multiplied by six + six?
* (* 1 3) 4	How many is 1 times three times four?
- (* 6 4) 5	I would like to know what is 6 * four minus five?
- (* 7 3) 3	what is seven multiplied by three minus 3?
* (/ 9 6) 7	I would like to know what is 9 / 6 times 7?
* (* 2 9) 7	How many is two * nine times 7?
/ (- 3 1) 2	what is three minus one divided by 2?
- (- 3 8) 6	I want to calculate three - eight extracted by six?
/ (* 8 6) 3	How many is eight * 6 divided by three?
- (* 1 9) 3	I want to calculate one multiplied by 9 - 3?
- (/ 6 5) 5	How many is 6 divided by 5 minus 5?
- (/ 10 9) 7	I want to calculate 10 divided by 9 extracted by seven?
/ (* 3 4) 4	what is three multiplied by 4 / four?
+ (+ 5 4) 6	How many is five + 4 plus six?
* (- 5 8) 9	How many is five extracted by 8 multiplied by nine?
/ (- 9 6) 7	I would like to know what is nine extracted by 6 / 7?
* (+ 10 8) 3	I want to calculate 10 + eight times 3?
/ (- 3 3) 2	I would like to know what is 3 - 3 / 2?
+ (+ 9 8) 4	what is nine added with 8 + 4?
/ (- 1 7) 5	How many is 1 extracted by 7 divided by 5?
/ (- 2 10) 10	How many is 2 - ten / 10?
- (/ 10 4) 6	what is 10 / 4 extracted by six?
/ (- 9 6) 2	what is 9 extracted by six divided by 2?
- (+ 8 8) 10	I would like to know what is 8 added with eight extracted by ten?
/ (- 6 4) 9	How many is six minus four divided by 9?
+ (+ 5 5) 10	what is five plus 5 + 10?
/ (+ 2 1) 2	How many is two + 1 divided by two?
- (/ 9 6) 7	I want to calculate 9 divided by 6 extracted by seven?
* (- 6 5) 8	How many is 6 - five times 8?
- (* 2 4) 2	How many is 2 multiplied by 4 minus two?
/ (* 2 7) 6	How many is two multiplied by seven / 6?
+ (/ 2 5) 4	I want to calculate two / 5 added with 4?
* (/ 10 5) 9	How many is 10 / 5 * 9?
+ (/ 8 5) 4	I would like to know what is eight divided by five + 4?
- (/ 3 10) 9	I want to calculate 3 / 10 extracted by nine?
+ (+ 4 5) 10	what is four + 5 added with 10?
- (/ 8 3) 9	How many is eight / 3 extracted by nine?
* (* 5 4) 7	How many is five multiplied by four multiplied by 7?
+ (+ 5 7) 7	How many is five plus 7 + 7?
- (- 8 1) 5	what is eight - 1 - five?
* (* 8 9) 9	what is eight times nine * 9?
* (+ 10 8) 1	I would like to know what is ten + eight * one?
- (* 1 10) 6	I want to calculate 1 times ten minus 6?
+ (+ 9 3) 9	what is nine + three + 9?
+ (- 6 3) 8	How many is 6 minus 3 plus eight?
+ (* 5 3) 9	what is 5 * 3 plus nine?
* (* 8 9) 7	I would like to know what is 8 times nine multiplied by 7?
/ (/ 4 6) 7	How many is four divided by 6 divided by 7?
+ (- 8 7) 10	How many is 8 - seven added with ten?
/ (- 2 3) 3	How many is two extracted by 3 divided by three?
+ (+ 8 1) 10	what is eight plus 1 plus 10?
- (+ 10 9) 3	I want to calculate ten plus 9 - three?
/ (/ 8 2) 3	what is 8 divided by 2 divided by 3?
/ (/ 5 10) 1	I would like to know what is 5 divided by ten / 1?
* (+ 8 2) 2	I would like to know what is eight added with 2 multiplied by 2?
/ (- 8 8) 3	How many is eight - 8 divided by three?
- (* 7 3) 9	I want to calculate seven times three extracted by 9?
/ (+ 4 6) 7	I would like to know what is four plus 6 / seven?
/ (+ 2 9) 2	I want to calculate 2 + 9 / 2?
- (- 3 1) 2	I would like to know what is 3 extracted by one - 2?
/ (/ 10 8) 5	I would like to know what is 10 / eight divided by 5?
- (- 3 2) 7	I want to calculate 3 minus two extracted by 7?
/ (/ 8 8) 3	I would like to know what is 8 / 8 / three?
/ (+ 6 5) 8	I would like to know what is six added with 5 / 8?
+ (+ 10 8) 7	what is ten added with 8 plus 7?
- (* 1 10) 10	I would like to know what is 1 * ten - 10?
/ (- 3 8) 4	How many is 3 minus eight divided by 4?
* (- 6 3) 4	I want to calculate 6 extracted by 3 multiplied by four?
/ (* 9 5) 10	How many is nine multiplied by five / 10?
* (+ 4 6) 10	what is four added with six times 10?
* (- 9 3) 5	I want to calculate 9 minus 3 times 5?
* (* 3 7) 1	what is 3 times seven * 1?
/ (/ 10 5) 9	I would like to know what is ten / 5 / nine?
/ (+ 5 7) 4	I want to calculate five added with 7 / four?
* (+ 5 2) 8	I want to calculate five plus 2 times eight?
* (+ 3 5) 2	I would like to know what is 3 + five * two?
- (+ 4 8) 5	How many is four plus 8 - five?
/ (+ 8 9) 7	How many is eight + nine / seven?
/ (* 1 5) 1	what is 1 * five divided by 1?
* (- 2 6) 7	How many is two minus six times 7?
/ (+ 3 4) 7	I would like to know what is three + four divided by 7?
- (+ 2 4) 5	I would like to know what is two plus 4 minus 5?
- (/ 9 9) 7	I want to calculate 9 divided by 9 extracted by 7?
/ (/ 10 7) 4	I want to calculate 10 / seven / four?
+ (- 5 7) 8	How many is 5 extracted by 7 added with eight?
- (+ 7 5) 6	How many is 7 added with 5 minus 6?
/ (* 9 6) 7	I would like to know what is 9 multiplied by six divided by seven?
+ (/ 7 7) 5	what is 7 divided by seven plus five?
/ (+ 10 5) 4	I would like to know what is 10 added with five / 4?
* (+ 5 6) 6	I want to calculate 5 added with 6 * six?
- (* 9 10) 10	I would like to know what is 9 multiplied by 10 extracted by ten?
- (/ 5 3) 5	I want to calculate five divided by 3 minus five?
/ (+ 8 8) 8	I would like to know what is eight + 8 / 8?
* (/ 7 3) 8	How many is seven / 3 multiplied by 8?
/ (+ 1 7) 3	what is one + 7 / 3?
+ (/ 3 6) 8	I would like to know what is 3 divided by six plus 8?
+ (/ 8 8) 9	How many is eight divided by 8 added with 9?
* (/ 2 8) 4	what is two divided by 8 * 4?
- (/ 9 3) 9	How many is nine divided by three - 9?
/ (/ 2 5) 7	I would like to know what is 2 / five divided by seven?
* (+ 3 2) 4	How many is three added with two multiplied by four?
- (* 4 6) 10	How many is 4 * six minus ten?
* (* 3 3) 10	I would like to know what is 3 multiplied by three * 10?
* (/ 1 9) 7	How many is one / 9 * 7?
* (- 8 10) 2	How many is 8 - ten multiplied by two?
/ (* 5 5) 1	what is 5 * five / 1?
+ (+ 6 1) 9	I want to calculate six plus one + 9?
+ (* 7 4) 6	what is 7 multiplied by four added with 6?
- (* 9 4) 9	I would like to know what is 9 * four - 9?
- (+ 8 5) 4	what is eight plus 5 minus four?
/ (+ 9 7) 6	I want to calculate 9 plus 7 / six?
* (- 5 6) 5	I would like to know what is 5 extracted by 6 multiplied by 5?
+ (- 1 5) 8	I want to calculate one - five + 8?
* (- 5 10) 8	what is 5 - 10 times eight?
+ (+ 9 2) 10	How many is nine added with two + 10?
/ (- 1 8) 4	what is one extracted by eight / 4?
+ (- 1 8) 5	what is 1 - 8 plus five?
* (* 4 3) 8	How many is four multiplied by three * eight?
* (* 4 1) 3	I would like to know what is 4 multiplied by one multiplied by 3?
* (* 2 10) 9	what is two * ten * nine?
- (* 7 1) 4	I want to calculate seven * 1 minus four?
* (+ 3 5) 9	I would like to know what is 3 + 5 times 9?
/ (* 4 8) 9	How many is 4 multiplied by 8 / nine?
/ (* 7 3) 6	How many is 7 * 3 / six?
+ (* 5 5) 5	what is five * five plus five?
+ (* 7 9) 3	what is 7 multiplied by nine + 3?
* (/ 3 6) 6	I would like to know what is 3 / six times six?
- (- 1 5) 8	I want to calculate one extracted by five - eight?
- (+ 1 2) 5	How many is one plus two - five?
* (/ 8 8) 9	I want to calculate 8 divided by eight * nine?
/ (- 1 10) 8	How many is 1 - ten divided by eight?
- (/ 1 3) 7	I would like to know what is 1 / three extracted by 7?
* (* 5 10) 10	I want to calculate five multiplied by 10 multiplied by 10?
* (* 3 6) 3	I want to calculate three * six multiplied by 3?
/ (+ 10 1) 8	I would like to know what is ten added with one / 8?
+ (+ 7 8) 1	I want to calculate 7 added with eight + 1?
+ (- 4 4) 9	what is 4 extracted by four + nine?
- (- 1 9) 8	I would like to know what is 1 minus nine extracted by eight?
- (- 7 7) 6	How many is 7 minus seven - six?
/ (+ 6 4) 1	How many is six added with 4 / one?
- (/ 5 5) 3	I want to calculate 5 divided by five extracted by 3?
+ (* 5 9) 7	How many is 5 times nine plus 7?
/ (+ 6 5) 6	what is six plus 5 divided by six?
- (* 8 7) 4	what is 8 times seven minus 4?
/ (/ 8 5) 1	I would like to know what is 8 divided by five divided by 1?
+ (- 10 6) 2	I want to calculate ten minus six plus 2?
+ (- 9 9) 6	How many is nine minus nine plus 6?
* (+ 10 10) 9	How many is ten plus 10 multiplied by 9?
* (- 5 10) 2	I would like to know what is 5 minus 10 * two?
+ (/ 5 2) 9	what is 5 divided by two added with nine?
* (/ 10 3) 6	what is 10 divided by 3 times six?
+ (+ 10 10) 2	what is ten + ten + 2?
/ (+ 4 7) 7	I would like to know what is 4 added with 7 / 7?
- (/ 3 5) 4	I want to calculate three / 5 extracted by four?
+ (/ 1 4) 5	what is one / 4 plus 5?
* (+ 3 2) 1	I would like to know what is three plus two * one?
+ (- 2 8) 8	I would like to know what is 2 extracted by 8 added with 8?
* (- 3 5) 5	How many is 3 - five * five?
* (/ 3 1) 4	I want to calculate 3 / one * 4?
+ (- 2 9) 7	How many is two extracted by nine added with seven?
* (/ 7 8) 2	How many is seven / eight multiplied by two?
+ (/ 2 7) 9	How many is 2 divided by seven plus 9?
+ (/ 9 10) 9	what is 9 divided by 10 added with 9?
+ (- 4 8) 3	I want to calculate four extracted by eight + 3?
/ (+ 2 8) 2	I want to calculate two added with eight divided by two?
* (* 3 8) 2	How many is three multiplied by 8 * two?
- (/ 5 4) 4	I want to calculate 5 divided by four extracted by four?
- (+ 3 7) 8	what is 3 + seven minus 8?
/ (/ 10 10) 7	How many is ten divided by 10 divided by 7?
/ (* 1 7) 4	what is one * seven divided by four?
/ (/ 9 10) 1	what is nine divided by 10 divided by one?
/ (- 5 9) 7	I would like to know what is 5 extracted by nine divided by 7?
* (- 7 1) 8	what is 7 - one times eight?
- (* 7 10) 5	what is seven multiplied by 10 - five?
+ (+ 3 1) 6	I want to calculate 3 plus 1 plus six?
* (* 6 9) 1	How many is 6 multiplied by nine multiplied by 1?
/ (+ 3 5) 3	what is 3 + 5 / three?
/ (/ 2 10) 1	what is 2 / 10 divided by 1?
/ (+ 7 1) 2	what is seven plus one divided by 2?
+ (+ 6 9) 10	How many is 6 added with nine plus ten?
- (* 6 5) 3	How many is 6 multiplied by five extracted by three?
+ (/ 5 2) 10	I would like to know what is five / 2 + ten?
/ (- 7 2) 6	How many is seven extracted by two / 6?
/ (+ 4 1) 5	I want to calculate 4 added with 1 / five?
/ (+ 6 1) 10	I want to calculate six added with one / 10?
/ (+ 1 7) 1	what is 1 added with seven divided by 1?
/ (+ 3 5) 8	I want to calculate three plus five divided by eight?
* (/ 2 3) 3	How many is two divided by 3 * 3?
* (+ 3 1) 9	what is three plus one * 9?
+ (+ 8 4) 1	I would like to know what is 8 added with four plus one?
* (* 8 7) 9	I would like to know what is eight times 7 times nine?
* (/ 1 8) 10	How many is one divided by 8 * 10?
/ (/ 3 10) 8	How many is three divided by 10 divided by 8?
- (+ 5 4) 9	I would like to know what is 5 + 4 extracted by nine?
* (* 7 6) 5	what is seven multiplied by 6 * 5?
- (- 9 2) 6	what is nine - 2 extracted by 6?
/ (/ 5 10) 4	I want to calculate 5 / 10 divided by four?
+ (+ 3 1) 3	what is three + 1 + three?
/ (* 7 5) 5	what is seven times 5 divided by five?
+ (* 8 7) 5	I would like to know what is eight times 7 added with five?
- (* 10 7) 7	I would like to know what is ten times 7 - 7?
* (* 7 10) 10	I would like to know what is 7 * ten times 10?
/ (* 10 6) 4	How many is 10 times six / 4?
- (- 3 6) 2	I would like to know what is three - six - 2?
/ (- 10 7) 9	I would like to know what is ten minus seven / 9?
- (+ 6 10) 1	what is 6 added with ten - 1?
+ (* 2 2) 4	I want to calculate two times two + 4?
* (/ 2 6) 5	How many is two / six times five?
+ (/ 3 9) 10	How many is three / 9 plus 10?
- (+ 9 7) 5	How many is 9 added with seven minus 5?
- (+ 6 8) 2	I want to calculate 6 added with eight minus 2?
* (+ 6 3) 8	what is six plus 3 times 8?
/ (- 2 1) 9	How many is 2 minus 1 divided by 9?
/ (/ 6 8) 8	what is six divided by eight / eight?
- (* 4 10) 5	I would like to know what is four multiplied by 10 extracted by 5?
- (- 10 5) 10	How many is ten extracted by five minus ten?
+ (/ 10 4) 5	I would like to know what is 10 / four + five?
+ (/ 7 8) 1	I would like to know what is 7 / 8 + 1?
+ (/ 7 9) 5	How many is 7 divided by nine + 5?
* (/ 10 5) 1	what is 10 divided by 5 * one?
/ (- 6 10) 5	I would like to know what is 6 extracted by 10 divided by five?
/ (+ 9 6) 2	I want to calculate 9 added with six / 2?
* (+ 3 1) 1	I want to calculate 3 + one multiplied by 1?
* (+ 8 7) 8	How many is eight plus 7 * 8?
* (+ 9 2) 8	I would like to know what is nine + two multiplied by eight?
- (/ 5 9) 10	I would like to know what is 5 divided by 9 minus 10?
/ (* 3 8) 8	I want to calculate 3 multiplied by eight divided by 8?
* (/ 9 6) 4	I want to calculate 9 divided by six * 4?
/ (+ 6 10) 8	How many is six added with 10 / 8?
* (* 2 4) 4	what is two * 4 multiplied by four?
+ (/ 9 8) 7	I would like to know what is nine divided by 8 plus seven?
- (* 4 2) 1	How many is 4 multiplied by two minus 1?
/ (- 9 2) 4	I would like to know what is nine - two divided by four?
- (/ 10 7) 6	I want to calculate ten / 7 minus six?
+ (/ 3 7) 8	what is three divided by seven + 8?
/ (/ 1 9) 1	what is one / 9 divided by one?
+ (* 6 7) 3	I would like to know what is 6 times 7 plus three?
- (/ 7 8) 10	How many is 7 / 8 - 10?
+ (+ 9 10) 6	what is nine plus 10 + 6?
/ (- 9 2) 7	How many is nine extracted by two / 7?
* (- 5 6) 1	what is five minus six times 1?
* (/ 9 1) 9	what is nine divided by 1 times nine?
* (- 5 9) 8	what is 5 - 9 * eight?
/ (* 1 1) 6	I want to calculate 1 * 1 divided by 6?
- (* 3 6) 1	I would like to know what is three times six extracted by 1?
/ (+ 9 6) 1	I want to calculate nine + six / 1?
* (+ 3 6) 4	I want to calculate 3 + 6 * 4?
- (* 2 2) 7	I would like to know what is 2 times two minus seven?
- (+ 1 1) 3	what is 1 plus one extracted by three?
* (- 7 8) 5	I would like to know what is 7 minus eight multiplied by five?
/ (- 3 4) 3	what is 3 extracted by 4 divided by three?
* (- 9 6) 2	what is nine extracted by 6 * 2?
* (/ 3 4) 5	I would like to know what is three divided by 4 * five?
* (* 1 5) 9	I want to calculate one multiplied by five * 9?
+ (* 8 2) 3	what is 8 * 2 added with three?
+ (/ 5 1) 10	I would like to know what is 5 / one + 10?
* (- 9 1) 5	I want to calculate nine extracted by 1 * five?
* (* 6 3) 9	I would like to know what is six * three * nine?
- (+ 4 10) 2	How many is four plus ten extracted by 2?
/ (* 7 2) 2	what is seven multiplied by 2 / 2?
/ (/ 7 8) 9	I would like to know what is seven / eight divided by 9?
* (- 5 7) 10	I would like to know what is 5 extracted by seven multiplied by ten?
- (/ 3 1) 10	what is 3 divided by 1 extracted by ten?
- (+ 10 6) 10	How many is 10 added with 6 - ten?
/ (* 3 10) 4	How many is three times ten divided by 4?
* (/ 7 3) 3	How many is seven / three * 3?
* (* 7 3) 10	I would like to know what is seven * 3 times ten?
/ (* 9 9) 3	How many is nine * nine / three?
* (+ 7 2) 7	How many is 7 added with two times 7?
* (+ 6 7) 4	I want to calculate 6 + seven multiplied by four?
- (- 9 7) 4	How many is nine extracted by 7 - 4?
* (- 3 3) 1	I want to calculate three extracted by three multiplied by one?
/ (- 6 5) 4	How many is 6 extracted by five / four?
/ (+ 1 9) 6	what is one + nine divided by 6?
* (+ 7 8) 8	I want to calculate seven plus eight * 8?
* (- 10 1) 5	I would like to know what is ten - one * 5?
/ (* 8 10) 1	I want to calculate eight multiplied by ten / one?
* (/ 8 9) 1	I would like to know what is eight divided by 9 multiplied by 1?
- (+ 3 3) 5	what is 3 plus three minus five?
/ (* 8 1) 4	I want to calculate eight multiplied by 1 / four?
* (+ 4 6) 2	I want to calculate 4 + 6 times two?
/ (+ 10 5) 1	I would like to know what is ten plus 5 / one?
- (+ 2 6) 3	I would like to know what is two plus 6 extracted by three?
/ (/ 5 5) 4	How many is five / five / four?
+ (/ 5 2) 2	I would like to know what is five divided by 2 added with two?
* (- 10 4) 7	what is ten - 4 times seven?
- (- 9 8) 1	I would like to know what is nine - 8 extracted by 1?
/ (- 2 3) 5	what is two - three divided by five?
* (/ 6 7) 1	I want to calculate six / 7 times one?
- (+ 8 9) 1	How many is eight plus 9 minus one?
/ (/ 7 1) 9	I want to calculate 7 divided by 1 / 9?
* (- 4 7) 4	How many is four extracted by 7 * 4?
* (* 8 5) 5	I want to calculate eight multiplied by 5 * 5?
* (+ 8 1) 10	I would like to know what is 8 + one multiplied by 10?
- (- 4 10) 7	I want to calculate 4 extracted by ten extracted by seven?
/ (+ 8 6) 1	what is eight added with 6 / 1?
- (/ 9 5) 9	I want to calculate 9 / 5 - nine?
- (- 1 1) 3	I want to calculate 1 extracted by 1 minus three?
* (- 10 6) 4	How many is ten - six * 4?
- (+ 1 7) 5	How many is one added with 7 - 5?
/ (* 1 3) 8	I would like to know what is one multiplied by three / eight?
* (+ 7 3) 8	How many is seven added with 3 * 8?
* (- 6 3) 5	I want to calculate 6 minus 3 * five?
+ (* 4 7) 1	How many is 4 multiplied by seven plus one?
+ (* 6 6) 5	How many is six times six + 5?
- (- 1 8) 10	How many is one minus 8 extracted by ten?
+ (+ 3 9) 10	what is three + nine + ten?
- (+ 6 1) 3	I would like to know what is six + 1 - 3?
* (/ 3 6) 5	How many is three divided by 6 * five?
+ (+ 1 1) 7	what is 1 plus 1 added with seven?
/ (+ 4 10) 4	I would like to know what is 4 + ten divided by four?
+ (- 1 6) 2	How many is one extracted by six added with two?
* (* 9 1) 9	what is nine times one times nine?
/ (- 5 4) 9	what is 5 extracted by four divided by nine?
* (+ 7 10) 10	How many is seven + 10 multiplied by 10?
* (+ 3 5) 5	what is three plus 5 multiplied by five?
* (- 5 1) 6	I would like to know what is five minus one * 6?
+ (/ 3 7) 2	How many is three divided by 7 + two?
/ (+ 2 9) 8	what is two + 9 / eight?
- (+ 8 6) 9	I would like to know what is 8 added with six - 9?
/ (+ 8 2) 8	I would like to know what is eight + 2 / eight?
/ (- 4 6) 7	what is four extracted by 6 / 7?
* (* 3 9) 6	I want to calculate three * nine * six?
+ (* 4 4) 1	what is four multiplied by 4 + 1?
- (/ 8 8) 1	what is 8 divided by 8 - one?
/ (- 8 2) 10	I want to calculate 8 extracted by 2 / ten?
- (/ 6 9) 6	I would like to know what is six divided by 9 minus 6?
- (* 9 3) 9	I want to calculate nine times three extracted by 9?
- (+ 4 7) 10	I would like to know what is 4 + 7 extracted by 10?
* (+ 1 2) 1	How many is 1 plus two times one?
